"User","Count","URLs"
"tdonohue;@duraspace",15,"https://github.com/DSpace/dspace-angular/pull/213;https://github.com/DSpace/dspace-angular/pull/211;https://github.com/DSpace/dspace-angular/pull/202;https://github.com/DSpace/DSpace/pull/1934;https://github.com/DSpace/DSpace/pull/1931;https://github.com/DSpace/DSpace/pull/1930;https://github.com/DSpace/DSpace/pull/1929;https://github.com/DSpace/DSpace/pull/1925;https://github.com/DSpace/DSpace/pull/1924;https://github.com/DSpace/DSpace/pull/1921;https://github.com/DSpace/DSpace/pull/1920;https://github.com/DSpace/DSpace/pull/1917;https://github.com/DSpace/DSpace/pull/1911;https://github.com/DSpace/DSpace/pull/1909;https://github.com/DSpace/DSpace/pull/1907"
"tomdesair;Atmire NV",7,"https://github.com/DSpace/DSpace/pull/1938;https://github.com/DSpace/DSpace/pull/1937;https://github.com/DSpace/DSpace/pull/1929;https://github.com/DSpace/DSpace/pull/1927;https://github.com/DSpace/DSpace/pull/1926;https://github.com/DSpace/DSpace/pull/1898;https://github.com/DSpace/DSpace/pull/1895"
"terrywbrady;@Georgetown-University-Libraries",7,"https://github.com/DSpace/DSpace/pull/1922;https://github.com/DSpace/DSpace/pull/1920;https://github.com/DSpace/DSpace/pull/1912;https://github.com/DSpace/DSpace/pull/1909;https://github.com/DSpace/DSpace/pull/1907;https://github.com/DSpace/DSpace/pull/1881;https://github.com/DSpace/DSpace/pull/1820"
"abollini;",4,"https://github.com/DSpace/DSpace/pull/1929;https://github.com/DSpace/DSpace/pull/1923;https://github.com/DSpace/DSpace/pull/1921;https://github.com/DSpace/DSpace/pull/1898"
"mwoodiupui;Indiana University",2,"https://github.com/DSpace/DSpace/pull/1917;https://github.com/DSpace/DSpace/pull/1907"
"artlowel;@atmire",2,"https://github.com/DSpace/dspace-angular/pull/213;https://github.com/DSpace/dspace-angular/pull/210"
"hardyoyo;@UCLALibrary",1,"https://github.com/DSpace/DSpace/pull/1892"
"bram-atmire;Atmire",1,"https://github.com/DSpace/dspace-xmlui-lang/pull/36"
"lap82;@4Science",1,"https://github.com/DSpace/DSpace/pull/1881"
"wwelling;Texas A&M University Libraries",1,"https://github.com/DSpace/dspace-angular/pull/214"
