"User","Count","URLs"
"mwoodiupui;Indiana University",5,"https://github.com/DSpace/DSpace/pull/1940;https://github.com/DSpace/DSpace/pull/1936;https://github.com/DSpace/DSpace/pull/1933;https://github.com/DSpace/DSpace/pull/1925;https://github.com/DSpace/DSpace/pull/1924"
"terrywbrady;@Georgetown-University-Libraries",5,"https://github.com/DSpace/DSpace/pull/1934;https://github.com/DSpace/DSpace/pull/1930;https://github.com/DSpace/DSpace/pull/1928;https://github.com/DSpace/DSpace/pull/1927;https://github.com/DSpace/DSpace/pull/1921"
"hardyoyo;@UCLALibrary",4,"https://github.com/DSpace/vagrant-dspace/pull/61;https://github.com/DSpace/DSpace/pull/1909;https://github.com/DSpace/DSpace/pull/1908;https://github.com/DSpace/DSpace/pull/1907"
"artlowel;@atmire",3,"https://github.com/DSpace/dspace-angular/pull/219;https://github.com/DSpace/dspace-angular/pull/214;https://github.com/DSpace/dspace-angular/pull/211"
"tomdesair;Atmire NV",3,"https://github.com/DSpace/DSpace/pull/1923;https://github.com/DSpace/DSpace/pull/1920;https://github.com/DSpace/DSpace/pull/1915"
"tdonohue;@duraspace",2,"https://github.com/DSpace/DSpace/pull/1938;https://github.com/DSpace/DSpace/pull/1937"
"mpasternak;IPLweb",2,"https://github.com/DSpace/dspace-xmlui-lang/pull/37;https://github.com/DSpace/dspace-api-lang/pull/26"
"lap82;@4Science",1,"https://github.com/DSpace/DSpace/pull/1929"
"kardeiz;",1,"https://github.com/DSpace/DSpace/pull/1912"
"pbroman;",1,"https://github.com/DSpace/DSpace/pull/1913"
"christian-scheible;",1,"https://github.com/DSpace/DSpace/pull/1935"
"atarix83;",1,"https://github.com/DSpace/dspace-angular/pull/213"
"wgresshoff;",1,"https://github.com/DSpace/DSpace/pull/1910"
"alanorth;",1,"https://github.com/DSpace/DSpace/pull/1917"
"YanaDP;",1,"https://github.com/DSpace/DSpace/pull/1939"
"Raf-atmire;",1,"https://github.com/DSpace/DSpace/pull/1931"
"PhilipVis;",1,"https://github.com/DSpace/DSpace/pull/1914"
"MW3000;",1,"https://github.com/DSpace/DSpace/pull/1922"
"AlexanderS;",1,"https://github.com/DSpace/DSpace/pull/1941"
