"User","Count","URLs"
"tdonohue;@duraspace",8,"https://github.com/DSpace/dspace-angular/pull/213;https://github.com/DSpace/dspace-angular/pull/211;https://github.com/DSpace/dspace-angular/pull/202;https://github.com/DSpace/DSpace/pull/1924;https://github.com/DSpace/DSpace/pull/1921;https://github.com/DSpace/DSpace/pull/1920;https://github.com/DSpace/DSpace/pull/1909;https://github.com/DSpace/DSpace/pull/1907"
"terrywbrady;@Georgetown-University-Libraries",5,"https://github.com/DSpace/DSpace/pull/1920;https://github.com/DSpace/DSpace/pull/1909;https://github.com/DSpace/DSpace/pull/1907;https://github.com/DSpace/DSpace/pull/1881;https://github.com/DSpace/DSpace/pull/1820"
"tomdesair;Atmire NV",3,"https://github.com/DSpace/DSpace/pull/1938;https://github.com/DSpace/DSpace/pull/1937;https://github.com/DSpace/DSpace/pull/1926"
"artlowel;@atmire",2,"https://github.com/DSpace/dspace-angular/pull/213;https://github.com/DSpace/dspace-angular/pull/210"
"abollini;",2,"https://github.com/DSpace/DSpace/pull/1923;https://github.com/DSpace/DSpace/pull/1921"
"bram-atmire;Atmire",1,"https://github.com/DSpace/dspace-xmlui-lang/pull/36"
"mwoodiupui;Indiana University",1,"https://github.com/DSpace/DSpace/pull/1907"
"lap82;@4Science",1,"https://github.com/DSpace/DSpace/pull/1881"
