"User","Count","URLs"
"tdonohue;@duraspace",22,"https://github.com/DSpace/dspace-angular/pull/237;https://github.com/DSpace/dspace-angular/pull/233;https://github.com/DSpace/dspace-angular/pull/228;https://github.com/DSpace/dspace-angular/pull/221;https://github.com/DSpace/DSpace/pull/2009;https://github.com/DSpace/DSpace/pull/1998;https://github.com/DSpace/DSpace/pull/1996;https://github.com/DSpace/DSpace/pull/1990;https://github.com/DSpace/DSpace/pull/1989;https://github.com/DSpace/DSpace/pull/1988;https://github.com/DSpace/DSpace/pull/1987;https://github.com/DSpace/DSpace/pull/1985;https://github.com/DSpace/DSpace/pull/1983;https://github.com/DSpace/DSpace/pull/1977;https://github.com/DSpace/DSpace/pull/1974;https://github.com/DSpace/DSpace/pull/1964;https://github.com/DSpace/DSpace/pull/1954;https://github.com/DSpace/DSpace/pull/1940;https://github.com/DSpace/DSpace/pull/1892;https://github.com/DSpace/DSpace/pull/1867;https://github.com/DSpace/DSpace/pull/1854;https://github.com/DSpace/DSpace/pull/1257"
"kshepherd;",11,"https://github.com/DSpace/dspace-api-lang/pull/27;https://github.com/DSpace/DSpace/pull/1999;https://github.com/DSpace/DSpace/pull/1998;https://github.com/DSpace/DSpace/pull/1983;https://github.com/DSpace/DSpace/pull/1982;https://github.com/DSpace/DSpace/pull/1934;https://github.com/DSpace/DSpace/pull/1867;https://github.com/DSpace/DSpace/pull/1862;https://github.com/DSpace/DSpace/pull/1854;https://github.com/DSpace/DSpace/pull/1840;https://github.com/DSpace/DSpace/pull/1804"
"mwoodiupui;Indiana University",8,"https://github.com/DSpace/dspace-api-lang/pull/27;https://github.com/DSpace/DSpace/pull/2006;https://github.com/DSpace/DSpace/pull/1991;https://github.com/DSpace/DSpace/pull/1981;https://github.com/DSpace/DSpace/pull/1975;https://github.com/DSpace/DSpace/pull/1970;https://github.com/DSpace/DSpace/pull/1945;https://github.com/DSpace/DSpace/pull/1867"
"terrywbrady;@Georgetown-University-Libraries",5,"https://github.com/DSpace/DSpace/pull/1977;https://github.com/DSpace/DSpace/pull/1976;https://github.com/DSpace/DSpace/pull/1974;https://github.com/DSpace/DSpace/pull/1845;https://github.com/DSpace/DSpace/pull/1838"
"artlowel;@atmire",4,"https://github.com/DSpace/dspace-angular/pull/236;https://github.com/DSpace/dspace-angular/pull/231;https://github.com/DSpace/dspace-angular/pull/230;https://github.com/DSpace/dspace-angular/pull/228"
"jcreel;",2,"https://github.com/DSpace/DSpace/pull/1883;https://github.com/DSpace/DSpace/pull/1804"
"hardyoyo;@UCLALibrary",2,"https://github.com/DSpace/DSpace/pull/1982;https://github.com/DSpace/DSpace/pull/1867"
"tomdesair;Atmire NV",2,"https://github.com/DSpace/dspace-angular/pull/230;https://github.com/DSpace/DSpace/pull/1977"
"pnbecker;The Library Code",1,"https://github.com/DSpace/DSpace/pull/1972"
