"User","Count","URLs"
"tdonohue;@duraspace",12,"https://github.com/DSpace/dspace-angular/pull/290;https://github.com/DSpace/dspace-angular/pull/288;https://github.com/DSpace/dspace-angular/pull/283;https://github.com/DSpace/DSpace/pull/2220;https://github.com/DSpace/DSpace/pull/2206;https://github.com/DSpace/DSpace/pull/2205;https://github.com/DSpace/DSpace/pull/2204;https://github.com/DSpace/DSpace/pull/2201;https://github.com/DSpace/DSpace/pull/2197;https://github.com/DSpace/DSpace/pull/2188;https://github.com/DSpace/DSpace/pull/2187;https://github.com/DSpace/DSpace/pull/2180"
"terrywbrady;@Georgetown-University-Libraries",4,"https://github.com/DSpace/DSpace/pull/2201;https://github.com/DSpace/DSpace/pull/2197;https://github.com/DSpace/DSpace/pull/2180;https://github.com/DSpace/DSpace/pull/2111"
"tomdesair;Atmire NV",4,"https://github.com/DSpace/DSpace/pull/2220;https://github.com/DSpace/DSpace/pull/2208;https://github.com/DSpace/DSpace/pull/2206;https://github.com/DSpace/DSpace/pull/2188"
"pnbecker;The Library Code",4,"https://github.com/DSpace/DSpace/pull/2198;https://github.com/DSpace/DSpace/pull/2190;https://github.com/DSpace/DSpace/pull/2178;https://github.com/DSpace/DSpace/pull/1801"
"artlowel;@atmire",2,"https://github.com/DSpace/dspace-angular/pull/291;https://github.com/DSpace/dspace-angular/pull/279"
"abollini;",2,"https://github.com/DSpace/dspace-angular/pull/279;https://github.com/DSpace/DSpace/pull/2175"
"g011um;University of Saskatchewan Library (@uofs-library)",1,"https://github.com/DSpace/DSpace/pull/2195"
"benbosman;",1,"https://github.com/DSpace/DSpace/pull/2187"
