"User","Count","URLs"
"kshepherd;",8,"https://github.com/DSpace/DSpace/pull/2040;https://github.com/DSpace/DSpace/pull/2037;https://github.com/DSpace/DSpace/pull/2034;https://github.com/DSpace/DSpace/pull/2033;https://github.com/DSpace/DSpace/pull/2023;https://github.com/DSpace/DSpace/pull/2022;https://github.com/DSpace/DSpace/pull/2017;https://github.com/DSpace/DSpace/pull/2015"
"tdonohue;@duraspace",6,"https://github.com/DSpace/orcid-jaxb-api/pull/2;https://github.com/DSpace/orcid-jaxb-api/pull/1;https://github.com/DSpace/DSpace/pull/2039;https://github.com/DSpace/DSpace/pull/2020;https://github.com/DSpace/DSpace/pull/2019;https://github.com/DSpace/DSpace/pull/2016"
"mwoodiupui;Indiana University",2,"https://github.com/DSpace/DSpace/pull/2032;https://github.com/DSpace/DSpace/pull/2031"
"abollini;",2,"https://github.com/DSpace/Rest7Contract/pull/23;https://github.com/DSpace/DSpace/pull/2025"
"KingKrimmson;@atmire",2,"https://github.com/DSpace/DSpace/pull/2026;https://github.com/DSpace/DSpace/pull/2012"
"pnbecker;The Library Code",1,"https://github.com/DSpace/DSpace/pull/2018"
"terrywbrady;@Georgetown-University-Libraries",1,"https://github.com/DSpace/DSpace/pull/2014"
"gregorgabriel;BIBSYS",1,"https://github.com/DSpace/DSpace/pull/2030"
"atarix83;",1,"https://github.com/DSpace/dspace-angular/pull/243"
"artlowel;@atmire",1,"https://github.com/DSpace/dspace-angular/pull/245"
"marsaoua;",1,"https://github.com/DSpace/DSpace/pull/2038"
"tomdesair;Atmire NV",1,"https://github.com/DSpace/Rest7Contract/pull/21"
"Atmire-Kristof;",1,"https://github.com/DSpace/dspace-angular/pull/246"
"AndrewZWood;Atmire",1,"https://github.com/DSpace/DSpace/pull/2021"
