"User","Count","URLs"
"kshepherd;",20,"https://github.com/DSpace/DSpace/pull/2039;https://github.com/DSpace/DSpace/pull/2019;https://github.com/DSpace/DSpace/pull/2016;https://github.com/DSpace/DSpace/pull/2014;https://github.com/DSpace/DSpace/pull/2011;https://github.com/DSpace/DSpace/pull/2010;https://github.com/DSpace/DSpace/pull/2003;https://github.com/DSpace/DSpace/pull/1997;https://github.com/DSpace/DSpace/pull/1996;https://github.com/DSpace/DSpace/pull/1949;https://github.com/DSpace/DSpace/pull/1941;https://github.com/DSpace/DSpace/pull/1940;https://github.com/DSpace/DSpace/pull/1914;https://github.com/DSpace/DSpace/pull/1913;https://github.com/DSpace/DSpace/pull/1885;https://github.com/DSpace/DSpace/pull/1883;https://github.com/DSpace/DSpace/pull/1877;https://github.com/DSpace/DSpace/pull/1805;https://github.com/DSpace/DSpace/pull/1755;https://github.com/DSpace/DSpace/pull/1502"
"tdonohue;@duraspace",18,"https://github.com/DSpace/dspace-angular/pull/245;https://github.com/DSpace/dspace-angular/pull/241;https://github.com/DSpace/dspace-angular/pull/235;https://github.com/DSpace/Rest7Contract/pull/23;https://github.com/DSpace/DSpace/pull/2035;https://github.com/DSpace/DSpace/pull/2032;https://github.com/DSpace/DSpace/pull/2028;https://github.com/DSpace/DSpace/pull/2023;https://github.com/DSpace/DSpace/pull/2022;https://github.com/DSpace/DSpace/pull/2017;https://github.com/DSpace/DSpace/pull/2010;https://github.com/DSpace/DSpace/pull/2005;https://github.com/DSpace/DSpace/pull/2003;https://github.com/DSpace/DSpace/pull/2000;https://github.com/DSpace/DSpace/pull/1991;https://github.com/DSpace/DSpace/pull/1972;https://github.com/DSpace/DSpace/pull/1900;https://github.com/DSpace/DSpace/pull/1297"
"terrywbrady;@Georgetown-University-Libraries",15,"https://github.com/DSpace/DSpace/pull/2016;https://github.com/DSpace/DSpace/pull/2012;https://github.com/DSpace/DSpace/pull/2008;https://github.com/DSpace/DSpace/pull/2007;https://github.com/DSpace/DSpace/pull/2002;https://github.com/DSpace/DSpace/pull/2000;https://github.com/DSpace/DSpace/pull/1996;https://github.com/DSpace/DSpace/pull/1949;https://github.com/DSpace/DSpace/pull/1941;https://github.com/DSpace/DSpace/pull/1914;https://github.com/DSpace/DSpace/pull/1913;https://github.com/DSpace/DSpace/pull/1891;https://github.com/DSpace/DSpace/pull/1885;https://github.com/DSpace/DSpace/pull/1877;https://github.com/DSpace/DSpace/pull/1856"
"mwoodiupui;Indiana University",2,"https://github.com/DSpace/DSpace/pull/2028;https://github.com/DSpace/DSpace/pull/1949"
"PTrottier;",2,"https://github.com/DSpace/dspace-angular/pull/245;https://github.com/DSpace/dspace-angular/pull/235"
"hardyoyo;@UCLALibrary",2,"https://github.com/DSpace/DSpace/pull/2032;https://github.com/DSpace/DSpace/pull/1883"
"lap82;@4Science",1,"https://github.com/DSpace/DSpace/pull/2028"
"jcreel;",1,"https://github.com/DSpace/DSpace/pull/2033"
"pnbecker;The Library Code",1,"https://github.com/DSpace/DSpace/pull/1972"
"cwilper;",1,"https://github.com/DSpace/DSpace/pull/2035"
"abollini;",1,"https://github.com/DSpace/Rest7Contract/pull/21"
"jonas-atmire;@mire",1,"https://github.com/DSpace/DSpace/pull/2028"
