"User","Count","URLs"
"tdonohue;@duraspace",22,"https://github.com/DSpace/dspace-angular/pull/268;https://github.com/DSpace/dspace-angular/pull/263;https://github.com/DSpace/dspace-angular/pull/246;https://github.com/DSpace/DSpace/pull/2066;https://github.com/DSpace/DSpace/pull/2064;https://github.com/DSpace/DSpace/pull/2055;https://github.com/DSpace/DSpace/pull/2052;https://github.com/DSpace/DSpace/pull/2050;https://github.com/DSpace/DSpace/pull/2049;https://github.com/DSpace/DSpace/pull/2047;https://github.com/DSpace/DSpace/pull/2045;https://github.com/DSpace/DSpace/pull/2044;https://github.com/DSpace/DSpace/pull/2028;https://github.com/DSpace/DSpace/pull/2026;https://github.com/DSpace/DSpace/pull/2012;https://github.com/DSpace/DSpace/pull/1973;https://github.com/DSpace/DSpace/pull/1910;https://github.com/DSpace/DSpace/pull/1890;https://github.com/DSpace/DSpace/pull/1856;https://github.com/DSpace/DSpace/pull/1855;https://github.com/DSpace/DSpace/pull/1835;https://github.com/DSpace/DSpace/pull/1770"
"kshepherd;",18,"https://github.com/DSpace/orcid-jaxb-api/pull/1;https://github.com/DSpace/DSpace/pull/2069;https://github.com/DSpace/DSpace/pull/2059;https://github.com/DSpace/DSpace/pull/2048;https://github.com/DSpace/DSpace/pull/2039;https://github.com/DSpace/DSpace/pull/2038;https://github.com/DSpace/DSpace/pull/2032;https://github.com/DSpace/DSpace/pull/2026;https://github.com/DSpace/DSpace/pull/2001;https://github.com/DSpace/DSpace/pull/1973;https://github.com/DSpace/DSpace/pull/1910;https://github.com/DSpace/DSpace/pull/1891;https://github.com/DSpace/DSpace/pull/1890;https://github.com/DSpace/DSpace/pull/1864;https://github.com/DSpace/DSpace/pull/1838;https://github.com/DSpace/DSpace/pull/1779;https://github.com/DSpace/DSpace/pull/1770;https://github.com/DSpace/DSpace/pull/1730"
"abollini;",9,"https://github.com/DSpace/Rest7Contract/pull/25;https://github.com/DSpace/DSpace/pull/2064;https://github.com/DSpace/DSpace/pull/2061;https://github.com/DSpace/DSpace/pull/2060;https://github.com/DSpace/DSpace/pull/2057;https://github.com/DSpace/DSpace/pull/2053;https://github.com/DSpace/DSpace/pull/2052;https://github.com/DSpace/DSpace/pull/2051;https://github.com/DSpace/DSpace/pull/2041"
"mwoodiupui;Indiana University",7,"https://github.com/DSpace/DSpace/pull/2072;https://github.com/DSpace/DSpace/pull/2069;https://github.com/DSpace/DSpace/pull/2050;https://github.com/DSpace/DSpace/pull/2049;https://github.com/DSpace/DSpace/pull/2045;https://github.com/DSpace/DSpace/pull/2044;https://github.com/DSpace/DSpace/pull/1779"
"artlowel;@atmire",4,"https://github.com/DSpace/dspace-angular/pull/267;https://github.com/DSpace/dspace-angular/pull/263;https://github.com/DSpace/dspace-angular/pull/243;https://github.com/DSpace/dspace-angular/pull/230"
"terrywbrady;@Georgetown-University-Libraries",1,"https://github.com/DSpace/DSpace/pull/2032"
"hardyoyo;@UCLALibrary",1,"https://github.com/DSpace/DSpace/pull/2043"
"atarix83;",1,"https://github.com/DSpace/dspace-angular/pull/235"
"pnbecker;The Library Code",1,"https://github.com/DSpace/DSpace/pull/2038"
"tomdesair;Atmire NV",1,"https://github.com/DSpace/DSpace/pull/1846"
"Generalelektrix;Université Laval",1,"https://github.com/DSpace/DSpace/pull/1890"
