"User","Count","URLs"
"tdonohue;@duraspace",8,"https://github.com/DSpace/DSpace/pull/2100;https://github.com/DSpace/DSpace/pull/2099;https://github.com/DSpace/DSpace/pull/2095;https://github.com/DSpace/DSpace/pull/2080;https://github.com/DSpace/DSpace/pull/2018;https://github.com/DSpace/DSpace/pull/1999;https://github.com/DSpace/DSpace/pull/1968;https://github.com/DSpace/DSpace/pull/1789"
"kshepherd;",7,"https://github.com/DSpace/DSpace/pull/2094;https://github.com/DSpace/DSpace/pull/2082;https://github.com/DSpace/DSpace/pull/2080;https://github.com/DSpace/DSpace/pull/2062;https://github.com/DSpace/DSpace/pull/2018;https://github.com/DSpace/DSpace/pull/1999;https://github.com/DSpace/DSpace/pull/1789"
"terrywbrady;@Georgetown-University-Libraries",6,"https://github.com/DSpace/DSpace/pull/2095;https://github.com/DSpace/DSpace/pull/2094;https://github.com/DSpace/DSpace/pull/2082;https://github.com/DSpace/DSpace/pull/2020;https://github.com/DSpace/DSpace/pull/1968;https://github.com/DSpace/DSpace/pull/1789"
"tomdesair;Atmire NV",4,"https://github.com/DSpace/dspace-angular/pull/275;https://github.com/DSpace/DSpace/pull/2077;https://github.com/DSpace/DSpace/pull/2073;https://github.com/DSpace/DSpace/pull/2025"
"abollini;",2,"https://github.com/DSpace/Rest7Contract/pull/25;https://github.com/DSpace/DSpace/pull/2064"
"hardyoyo;@UCLALibrary",1,"https://github.com/DSpace/DSpace/pull/2099"
"artlowel;@atmire",1,"https://github.com/DSpace/dspace-angular/pull/264"
"mwoodiupui;Indiana University",1,"https://github.com/DSpace/DSpace/pull/2080"
