"User","Count","URLs"
"tdonohue;@duraspace",21,"https://github.com/DSpace/dspace-angular/pull/229;https://github.com/DSpace/dspace-angular/pull/228;https://github.com/DSpace/dspace-angular/pull/227;https://github.com/DSpace/dspace-angular/pull/220;https://github.com/DSpace/DSpace/pull/1967;https://github.com/DSpace/DSpace/pull/1966;https://github.com/DSpace/DSpace/pull/1965;https://github.com/DSpace/DSpace/pull/1958;https://github.com/DSpace/DSpace/pull/1957;https://github.com/DSpace/DSpace/pull/1954;https://github.com/DSpace/DSpace/pull/1953;https://github.com/DSpace/DSpace/pull/1950;https://github.com/DSpace/DSpace/pull/1948;https://github.com/DSpace/DSpace/pull/1947;https://github.com/DSpace/DSpace/pull/1946;https://github.com/DSpace/DSpace/pull/1944;https://github.com/DSpace/DSpace/pull/1939;https://github.com/DSpace/DSpace/pull/1936;https://github.com/DSpace/DSpace/pull/1933;https://github.com/DSpace/DSpace/pull/1914;https://github.com/DSpace/DSpace/pull/1791"
"terrywbrady;@Georgetown-University-Libraries",5,"https://github.com/DSpace/DSpace/pull/1955;https://github.com/DSpace/DSpace/pull/1950;https://github.com/DSpace/DSpace/pull/1944;https://github.com/DSpace/DSpace/pull/1936;https://github.com/DSpace/DSpace/pull/1925"
"tomdesair;Atmire NV",4,"https://github.com/DSpace/DSpace/pull/1959;https://github.com/DSpace/DSpace/pull/1939;https://github.com/DSpace/DSpace/pull/1929;https://github.com/DSpace/DSpace/pull/1848"
"kshepherd;",4,"https://github.com/DSpace/DSpace/pull/1956;https://github.com/DSpace/DSpace/pull/1952;https://github.com/DSpace/DSpace/pull/1951;https://github.com/DSpace/DSpace/pull/1943"
"hardyoyo;@UCLALibrary",3,"https://github.com/DSpace/DSpace/pull/1933;https://github.com/DSpace/DSpace/pull/1913;https://github.com/DSpace/DSpace/pull/1848"
"mwoodiupui;Indiana University",3,"https://github.com/DSpace/DSpace/pull/1941;https://github.com/DSpace/DSpace/pull/1931;https://github.com/DSpace/DSpace/pull/1912"
"abollini;",2,"https://github.com/DSpace/DSpace/pull/1939;https://github.com/DSpace/DSpace/pull/1898"
"pnbecker;The Library Code",2,"https://github.com/DSpace/DSpace/pull/1956;https://github.com/DSpace/DSpace/pull/1946"
"wwelling;Texas A&M University Libraries",1,"https://github.com/DSpace/dspace-angular/pull/220"
