"User","Count","URLs"
"mwoodiupui;Indiana University",9,"https://github.com/DSpace/DSpace/pull/1968;https://github.com/DSpace/DSpace/pull/1967;https://github.com/DSpace/DSpace/pull/1966;https://github.com/DSpace/DSpace/pull/1965;https://github.com/DSpace/DSpace/pull/1955;https://github.com/DSpace/DSpace/pull/1953;https://github.com/DSpace/DSpace/pull/1950;https://github.com/DSpace/DSpace/pull/1948;https://github.com/DSpace/DSpace/pull/1944"
"hardyoyo;@UCLALibrary",6,"https://github.com/DSpace/DSpace/pull/1962;https://github.com/DSpace/DSpace/pull/1961;https://github.com/DSpace/DSpace/pull/1960;https://github.com/DSpace/DSpace/pull/1958;https://github.com/DSpace/DSpace/pull/1957;https://github.com/DSpace/DSpace/pull/1956"
"tdonohue;@duraspace",6,"https://github.com/DSpace/DSpace/pull/1975;https://github.com/DSpace/DSpace/pull/1970;https://github.com/DSpace/DSpace/pull/1969;https://github.com/DSpace/DSpace/pull/1952;https://github.com/DSpace/DSpace/pull/1945;https://github.com/DSpace/DSpace/pull/1943"
"LotteHofstede;",3,"https://github.com/DSpace/dspace-angular/pull/229;https://github.com/DSpace/dspace-angular/pull/228;https://github.com/DSpace/dspace-angular/pull/221"
"jonas-atmire;@mire",2,"https://github.com/DSpace/DSpace/pull/1949;https://github.com/DSpace/DSpace/pull/1947"
"artlowel;@atmire",2,"https://github.com/DSpace/dspace-angular/pull/227;https://github.com/DSpace/dspace-angular/pull/220"
"ssolim;",1,"https://github.com/DSpace/DSpace/pull/1972"
"terrywbrady;@Georgetown-University-Libraries",1,"https://github.com/DSpace/DSpace/pull/1951"
"benbosman;",1,"https://github.com/DSpace/DSpace/pull/1954"
"philip-muench;",1,"https://github.com/DSpace/DSpace/pull/1946"
"antzsch;",1,"https://github.com/DSpace/DSpace/pull/1973"
"abollini;",1,"https://github.com/DSpace/Rest7Contract/pull/20"
"tomdesair;Atmire NV",1,"https://github.com/DSpace/DSpace/pull/1974"
"KevinVdV;@atmire",1,"https://github.com/DSpace/DSpace/pull/1942"
