"User","Count","URLs"
"tdonohue;@duraspace",13,"https://github.com/DSpace/dspace-angular/pull/229;https://github.com/DSpace/DSpace/pull/1967;https://github.com/DSpace/DSpace/pull/1966;https://github.com/DSpace/DSpace/pull/1965;https://github.com/DSpace/DSpace/pull/1958;https://github.com/DSpace/DSpace/pull/1957;https://github.com/DSpace/DSpace/pull/1953;https://github.com/DSpace/DSpace/pull/1948;https://github.com/DSpace/DSpace/pull/1946;https://github.com/DSpace/DSpace/pull/1944;https://github.com/DSpace/DSpace/pull/1939;https://github.com/DSpace/DSpace/pull/1936;https://github.com/DSpace/DSpace/pull/1933"
"terrywbrady;@Georgetown-University-Libraries",4,"https://github.com/DSpace/DSpace/pull/1955;https://github.com/DSpace/DSpace/pull/1944;https://github.com/DSpace/DSpace/pull/1936;https://github.com/DSpace/DSpace/pull/1925"
"kshepherd;",4,"https://github.com/DSpace/DSpace/pull/1956;https://github.com/DSpace/DSpace/pull/1952;https://github.com/DSpace/DSpace/pull/1951;https://github.com/DSpace/DSpace/pull/1943"
"pnbecker;The Library Code",2,"https://github.com/DSpace/DSpace/pull/1956;https://github.com/DSpace/DSpace/pull/1946"
"abollini;",2,"https://github.com/DSpace/DSpace/pull/1939;https://github.com/DSpace/DSpace/pull/1898"
"hardyoyo;@UCLALibrary",1,"https://github.com/DSpace/DSpace/pull/1933"
"tomdesair;Atmire NV",1,"https://github.com/DSpace/DSpace/pull/1929"
