"User","Count","URLs"
"tdonohue;@duraspace",9,"https://github.com/DSpace/dspace-angular/pull/269;https://github.com/DSpace/dspace-angular/pull/264;https://github.com/DSpace/DSpace/pull/2107;https://github.com/DSpace/DSpace/pull/2106;https://github.com/DSpace/DSpace/pull/2042;https://github.com/DSpace/DSpace/pull/2031;https://github.com/DSpace/DSpace/pull/2025;https://github.com/DSpace/DSpace/pull/1995;https://github.com/DSpace/DSpace/pull/1931"
"artlowel;@atmire",3,"https://github.com/DSpace/dspace-angular/pull/277;https://github.com/DSpace/dspace-angular/pull/275;https://github.com/DSpace/dspace-angular/pull/264"
"pnbecker;The Library Code",2,"https://github.com/DSpace/DSpace/pull/2042;https://github.com/DSpace/DSpace/pull/2031"
"terrywbrady;@Georgetown-University-Libraries",1,"https://github.com/DSpace/DSpace/pull/2117"
"abollini;",1,"https://github.com/DSpace/DSpace/pull/2064"
