"User","Count","URLs"
"KingKrimmson",11,"https://github.com/DSpace/DSpace/pull/2132;https://github.com/DSpace/DSpace/pull/2131;https://github.com/DSpace/DSpace/pull/2130;https://github.com/DSpace/DSpace/pull/2124;https://github.com/DSpace/DSpace/pull/2123;https://github.com/DSpace/DSpace/pull/2122;https://github.com/DSpace/DSpace/pull/2119;https://github.com/DSpace/DSpace/pull/2118;https://github.com/DSpace/DSpace/pull/2107;https://github.com/DSpace/DSpace/pull/2106;https://github.com/DSpace/DSpace/pull/2105"
"mwoodiupui",5,"https://github.com/DSpace/Rest7Contract/pull/26;https://github.com/DSpace/DSpace/pull/2129;https://github.com/DSpace/DSpace/pull/2116;https://github.com/DSpace/DSpace/pull/2115;https://github.com/DSpace/DSpace/pull/2112"
"terrywbrady",5,"https://github.com/DSpace/dspace-angular/pull/278;https://github.com/DSpace/DSpace/pull/2137;https://github.com/DSpace/DSpace/pull/2136;https://github.com/DSpace/DSpace/pull/2135;https://github.com/DSpace/DSpace/pull/2134"
"toniprieto",2,"https://github.com/DSpace/DSpace/pull/2114;https://github.com/DSpace/DSpace/pull/2113"
"Raf-atmire",2,"https://github.com/DSpace/DSpace/pull/2111;https://github.com/DSpace/DSpace/pull/2110"
"arvoConsultores",2,"https://github.com/DSpace/DSpace/pull/2121;https://github.com/DSpace/DSpace/pull/2120"
"olli-gold",1,"https://github.com/DSpace/DSpace/pull/2128"
"ppmdo",1,"https://github.com/DSpace/DSpace/pull/2108"
"atarix83",1,"https://github.com/DSpace/dspace-angular/pull/279"
"tomdesair",1,"https://github.com/DSpace/DSpace/pull/2109"
"akinom",1,"https://github.com/DSpace/DSpace/pull/2141"
"abollini",1,"https://github.com/DSpace/DSpace/pull/2126"
"ernani",1,"https://github.com/DSpace/DSpace/pull/2140"
"MatMercer",1,"https://github.com/DSpace/dspace-angular/pull/277"
"christian-scheible",1,"https://github.com/DSpace/DSpace/pull/2138"
"AlexanderS",1,"https://github.com/DSpace/DSpace/pull/2139"
