"User","Count","URLs"
"tdonohue;@duraspace",22,"https://github.com/DSpace/dspace-angular/pull/276;https://github.com/DSpace/dspace-angular/pull/271;https://github.com/DSpace/dspace-angular/pull/269;https://github.com/DSpace/dspace-angular/pull/264;https://github.com/DSpace/DSpace/pull/2125;https://github.com/DSpace/DSpace/pull/2124;https://github.com/DSpace/DSpace/pull/2123;https://github.com/DSpace/DSpace/pull/2121;https://github.com/DSpace/DSpace/pull/2120;https://github.com/DSpace/DSpace/pull/2118;https://github.com/DSpace/DSpace/pull/2112;https://github.com/DSpace/DSpace/pull/2111;https://github.com/DSpace/DSpace/pull/2109;https://github.com/DSpace/DSpace/pull/2107;https://github.com/DSpace/DSpace/pull/2106;https://github.com/DSpace/DSpace/pull/2042;https://github.com/DSpace/DSpace/pull/2041;https://github.com/DSpace/DSpace/pull/2031;https://github.com/DSpace/DSpace/pull/2025;https://github.com/DSpace/DSpace/pull/1995;https://github.com/DSpace/DSpace/pull/1976;https://github.com/DSpace/DSpace/pull/1931"
"tomdesair;Atmire NV",7,"https://github.com/DSpace/DSpace/pull/2120;https://github.com/DSpace/DSpace/pull/2111;https://github.com/DSpace/DSpace/pull/2108;https://github.com/DSpace/DSpace/pull/2102;https://github.com/DSpace/DSpace/pull/1931;https://github.com/DSpace/DSpace/pull/1792;https://github.com/DSpace/DSpace/pull/1791"
"terrywbrady;@Georgetown-University-Libraries",6,"https://github.com/DSpace/DSpace/pull/2127;https://github.com/DSpace/DSpace/pull/2125;https://github.com/DSpace/DSpace/pull/2120;https://github.com/DSpace/DSpace/pull/2117;https://github.com/DSpace/DSpace/pull/2041;https://github.com/DSpace/DSpace/pull/1976"
"abollini;",6,"https://github.com/DSpace/DSpace/pull/2129;https://github.com/DSpace/DSpace/pull/2125;https://github.com/DSpace/DSpace/pull/2108;https://github.com/DSpace/DSpace/pull/2064;https://github.com/DSpace/DSpace/pull/2041;https://github.com/DSpace/DSpace/pull/1976"
"artlowel;@atmire",4,"https://github.com/DSpace/dspace-angular/pull/278;https://github.com/DSpace/dspace-angular/pull/277;https://github.com/DSpace/dspace-angular/pull/275;https://github.com/DSpace/dspace-angular/pull/264"
"mwoodiupui;Indiana University",3,"https://github.com/DSpace/DSpace/pull/2111;https://github.com/DSpace/DSpace/pull/2109;https://github.com/DSpace/DSpace/pull/1683"
"pnbecker;The Library Code",3,"https://github.com/DSpace/DSpace/pull/2078;https://github.com/DSpace/DSpace/pull/2042;https://github.com/DSpace/DSpace/pull/2031"
"helix84;",1,"https://github.com/DSpace/DSpace/pull/2138"
