"User","Count","URLs"
"terrywbrady",17,"https://github.com/DSpace/DSpace/pull/2158;https://github.com/DSpace/DSpace/pull/2157;https://github.com/DSpace/DSpace/pull/2156;https://github.com/DSpace/DSpace/pull/2155;https://github.com/DSpace/DSpace/pull/2154;https://github.com/DSpace/DSpace/pull/2153;https://github.com/DSpace/DSpace/pull/2152;https://github.com/DSpace/DSpace/pull/2151;https://github.com/DSpace/DSpace/pull/2150;https://github.com/DSpace/DSpace/pull/2149;https://github.com/DSpace/DSpace/pull/2148;https://github.com/DSpace/DSpace/pull/2147;https://github.com/DSpace/DSpace/pull/2146;https://github.com/DSpace/DSpace/pull/2145;https://github.com/DSpace/DSpace/pull/2144;https://github.com/DSpace/DSpace/pull/2143;https://github.com/DSpace/DSpace/pull/2142"
"KingKrimmson",7,"https://github.com/DSpace/DSpace/pull/2172;https://github.com/DSpace/DSpace/pull/2171;https://github.com/DSpace/DSpace/pull/2169;https://github.com/DSpace/DSpace/pull/2166;https://github.com/DSpace/DSpace/pull/2162;https://github.com/DSpace/DSpace/pull/2161;https://github.com/DSpace/DSpace/pull/2160"
"mwoodiupui",4,"https://github.com/DSpace/DSpace/pull/2181;https://github.com/DSpace/DSpace/pull/2180;https://github.com/DSpace/DSpace/pull/2168;https://github.com/DSpace/DSpace/pull/2167"
"AndrewZWood",3,"https://github.com/DSpace/DSpace/pull/2186;https://github.com/DSpace/DSpace/pull/2184;https://github.com/DSpace/DSpace/pull/2183"
"abollini",3,"https://github.com/DSpace/DSpace/pull/2187;https://github.com/DSpace/DSpace/pull/2179;https://github.com/DSpace/DSpace/pull/2176"
"AlexanderS",2,"https://github.com/DSpace/DSpace/pull/2190;https://github.com/DSpace/DSpace/pull/2178"
"tantz001",2,"https://github.com/DSpace/DSpace/pull/2189;https://github.com/DSpace/DSpace/pull/2177"
"LotteHofstede",2,"https://github.com/DSpace/dspace-angular/pull/288;https://github.com/DSpace/dspace-angular/pull/280"
"Raf-atmire",2,"https://github.com/DSpace/DSpace/pull/2188;https://github.com/DSpace/DSpace/pull/2163"
"santit96",1,"https://github.com/DSpace/DSpace/pull/2191"
"tdonohue",1,"https://github.com/DSpace/DSpace/pull/2159"
"ppmdo",1,"https://github.com/DSpace/DSpace/pull/2173"
"PTrottier",1,"https://github.com/DSpace/dspace-angular/pull/287"
"MiguelRipoll-SuC",1,"https://github.com/DSpace/DSpace/pull/2174"
"mohideen",1,"https://github.com/DSpace/dspace-angular/pull/282"
"lpmi-13",1,"https://github.com/DSpace/dspace-solr/pull/5"
"Atmire-Kristof",1,"https://github.com/DSpace/dspace-angular/pull/283"
"vlguerrero",1,"https://github.com/DSpace/dspace-xmlui-lang/pull/38"
"cwilper",1,"https://github.com/DSpace/DSpace/pull/2175"
