"User","Count","URLs"
"tdonohue;@duraspace",43,"https://github.com/DSpace/dspace-angular/pull/282;https://github.com/DSpace/dspace-angular/pull/280;https://github.com/DSpace/dspace-angular/pull/278;https://github.com/DSpace/dspace-angular/pull/271;https://github.com/DSpace/DSpace/pull/2184;https://github.com/DSpace/DSpace/pull/2179;https://github.com/DSpace/DSpace/pull/2169;https://github.com/DSpace/DSpace/pull/2167;https://github.com/DSpace/DSpace/pull/2165;https://github.com/DSpace/DSpace/pull/2163;https://github.com/DSpace/DSpace/pull/2157;https://github.com/DSpace/DSpace/pull/2156;https://github.com/DSpace/DSpace/pull/2155;https://github.com/DSpace/DSpace/pull/2154;https://github.com/DSpace/DSpace/pull/2153;https://github.com/DSpace/DSpace/pull/2152;https://github.com/DSpace/DSpace/pull/2151;https://github.com/DSpace/DSpace/pull/2150;https://github.com/DSpace/DSpace/pull/2149;https://github.com/DSpace/DSpace/pull/2148;https://github.com/DSpace/DSpace/pull/2147;https://github.com/DSpace/DSpace/pull/2146;https://github.com/DSpace/DSpace/pull/2145;https://github.com/DSpace/DSpace/pull/2144;https://github.com/DSpace/DSpace/pull/2143;https://github.com/DSpace/DSpace/pull/2142;https://github.com/DSpace/DSpace/pull/2140;https://github.com/DSpace/DSpace/pull/2137;https://github.com/DSpace/DSpace/pull/2136;https://github.com/DSpace/DSpace/pull/2135;https://github.com/DSpace/DSpace/pull/2134;https://github.com/DSpace/DSpace/pull/2126;https://github.com/DSpace/DSpace/pull/2120;https://github.com/DSpace/DSpace/pull/2114;https://github.com/DSpace/DSpace/pull/2110;https://github.com/DSpace/DSpace/pull/2109;https://github.com/DSpace/DSpace/pull/2108;https://github.com/DSpace/DSpace/pull/2104;https://github.com/DSpace/DSpace/pull/2072;https://github.com/DSpace/DSpace/pull/2071;https://github.com/DSpace/DSpace/pull/2059;https://github.com/DSpace/DSpace/pull/2041;https://github.com/DSpace/DSpace/pull/1976"
"terrywbrady;@Georgetown-University-Libraries",4,"https://github.com/DSpace/DSpace/pull/2126;https://github.com/DSpace/DSpace/pull/2109;https://github.com/DSpace/DSpace/pull/2108;https://github.com/DSpace/DSpace/pull/2054"
"abollini;",4,"https://github.com/DSpace/DSpace/pull/2127;https://github.com/DSpace/DSpace/pull/2120;https://github.com/DSpace/DSpace/pull/2108;https://github.com/DSpace/DSpace/pull/1976"
"mwoodiupui;Indiana University",3,"https://github.com/DSpace/DSpace/pull/2158;https://github.com/DSpace/DSpace/pull/2104;https://github.com/DSpace/DSpace/pull/1792"
"pnbecker;The Library Code",2,"https://github.com/DSpace/DSpace/pull/2137;https://github.com/DSpace/DSpace/pull/2136"
"bram-atmire;Atmire",1,"https://github.com/DSpace/DSpace/pull/1901"
"artlowel;@atmire",1,"https://github.com/DSpace/dspace-angular/pull/282"
"tomdesair;Atmire NV",1,"https://github.com/DSpace/DSpace/pull/2179"
